"lambda_","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
1e-05,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
1e-05,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
1e-05,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
0.0001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
